,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
10,person 3074,Worcester College,Male,,Female,Not interested,First,"First, Second",Music,Dinner,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,3,4,4,2,3,1,4,2,,3,1,4,Colin Hay,3,4,3.0,2,4,Kindness,Intelligence,Sense of Humour,Moderate,True,Very left-wing,Hassan's,English Language and Literature,President,Student Journalism,Exeter College,Gabriel Lazar,False,,,True,True,False,,4,Not particularly,True,2020-10-17 19:09:28,y9sga4hjo5v24pzopy9sgatubicdry1j,,,
11,person 2599,Magdalen College,Female,,"Male, Female",Not interested,Second,"Second, Third",Engineering Science,Coffee,As long as it's legal,dogs,Peck on the cheek,4,3,5,4,5,3,2,3,4,Park End / ATIK / WTF it's called,4,4,3,,4,4,4.0,1,3,Intelligence,Sense of Humour,Confidence,I'm not political,False,,Ahmed's,Theology and Religion,Welfare,The Union,Brasenose College,PRET,False,,,False,True,False,,4,no,True,2020-10-17 19:09:57,ptvvh75hk7izrkm2qwughptvvhpdmvty,,,
12,person 2453,Magdalen College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",History,Drinks,As long as it's legal,The Deep Stuff™,Horizontal,3,5,5,3,4,3,5,4,4,Bullingdon,5,5,5,"Nick Cave, Marilyn Manson, The Cure, My Chemical Romance",5,2,3.0,1,4,Ambition,Intelligence,Ambition,Moderately left-wing,False,,Ahmed's,Economics and Management,Welfare,OUCA,Merton College,Ipek Şahbazoğlu,False,,,False,False,False,,5,💕✨💕✨,True,2020-10-17 19:09:58,aj9bfuo3qdy2fj3daj9bf06b07n89eqq,,,
13,person 2430,Exeter College,Female,,Male,Not interested,Third,"Third, Second, Fourth + / Post Grad",Medicine,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,3,5,3,5,3,5,1,4,Bullingdon,4,2,3,,1,5,2.0,3,3,Kindness,Kindness,Ambition,Moderate,False,,Hassan's,Classics,President,The Union,Exeter College,Alana Stewart,False,,,False,True,False,,5,No,False,2020-10-17 19:10:19,w7abhhahj6bigw7abh0evxq1etrfgl5z,,,
14,person 2108,Somerville College,Female,,Male,Not interested,Second,"Third, Fourth + / Post Grad, Second","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,2,2,3,3,4,1,2,4,Bridge,4,2,2,,3,3,4.0,4,5,Kindness,Kindness,Sense of Humour,Slightly left-wing,True,"Very conservative, Moderately conservative, Very left-wing, Moderately left-wing",Posh Nosh,Classics,President,OUCA,Wadham College,I refuse to give an unironic answer to this,False,,,False,True,False,,4,Excellent stuff,True,2020-10-17 19:10:35,weurx7elr2hweurx7f6do3yqz6v97l2y,,,
15,person 1863,St Hugh's College,Male,,Female,Not interested,Second,"First, Second, Third",Economics and Management,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,1,2,3,3,5,3,2,3,4,Park End / ATIK / WTF it's called,3,2,2,,4,3,2.0,4,5,Kindness,Intelligence,Kindness,I'm not political,True,"Very conservative, Very left-wing",Ahmed's,"Philosophy, Politics and Economics (PPE)",President,The Union,St Peter's College,,False,,,True,False,False,,3,Nah,False,2020-10-17 19:11:01,lixz33klcikt5a8lixz3qx2cdsh57l81,,,
16,person 575,Wadham College,Female,,"Female, Male",Not interested,Second,"Second, Third, Fourth + / Post Grad",Engineering Science,Walk in the park,As long as it's legal,The Deep Stuff™,Peck on the cheek,1,3,3,3,2,4,1,2,3,Bullingdon,3,2,5,"J Cole, Logic, Summer Walker, Kendrick Lamar",3,4,2.0,2,4,Ambition,Intelligence,Confidence,I'm not political,False,,Hassan's,Music,Welfare,OUCA,Balliol College,Huh,False,,,False,False,False,,3,N/a,True,2020-10-17 19:11:04,oyxdz2t85qglmm2yoyxdz3g413pqqvxl,,,
17,person 38,Wadham College,Female,,"Male, Female",Not interested,Second,"Second, Third, Fourth + / Post Grad",Modern Languages,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,3,5,2,5,2,1,1,5,Plush,5,5,5,"Martin Garrix, Avicii, Calvin Harris",3,4,3.0,4,4,Sense of Humour,Confidence,Intelligence,I'm not political,True,"Very left-wing, Very conservative",Hassan's,Medicine,Entz,Rowing,Magdalen College,Me,False,,,False,True,False,,4,,True,2020-10-17 19:11:05,mksgpwy5ogo5hpnbfozsomksgpwfzbvf,,,
18,person 1815,Wadham College,Female,,Male,Not interested,Fourth + / Post Grad,"Fourth + / Post Grad, Third",Law (Jurisprudence),Drinks,As long as it's legal,The Deep Stuff™,Horizontal,3,5,3,3,4,2,3,1,4,Fever,4,3,3,,2,3,4.0,4,5,Kindness,Sense of Humour,Intelligence,Very left-wing,True,Very conservative,Hassan's,Classics,Welfare,The Union,Hertford College,,True,,,True,True,False,,5,Nope,True,2020-10-17 19:11:17,5m8gik8tda7mlft5m8gikw984c8jhvgz,,,
19,person 2608,Magdalen College,Male,,Male,Not interested,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Chemistry,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,2,4,2,2,2,1,3,3,4,Plush,4,1,3,,4,2,2.0,2,5,Kindness,Kindness,Ambition,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Law (Jurisprudence),Welfare,The Union,St Catherine's College,BFR @ M,False,,,False,True,True,Merton College,3,Physical attraction is important and needs to be considered,True,2020-10-17 19:11:22,s48qv374p6jycdots48qvr7mfixmanmy,,,
20,person 2380,Lady Margaret Hall,Female,,Male,Not interested,Second,"Second, First",Biochemistry (Molecular and Cellular),Walk in the park,"Live fast, die young",The Deep Stuff™,Peck on the cheek,2,3,3,4,3,3,1,1,4,Park End / ATIK / WTF it's called,5,1,3,,2,4,1.0,4,4,Kindness,Ambition,Sense of Humour,I'm not political,True,Very conservative,Hassan's,"Philosophy, Politics and Economics (PPE)",Welfare,The Union,Worcester College,Malala,False,,,False,False,False,,5,N/a,True,2020-10-17 19:11:25,tlvcdv3r2ebqrfs8d4rtlvcdvkvu7j1g,,,
21,person 77,Exeter College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Medicine,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,5,4,5,3,4,2,5,2,4,Bullingdon,5,1,4,ELO,4,3,3.0,3,4,Sense of Humour,Sense of Humour,Ambition,Moderately left-wing,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,The Union,St Peter's College,Lizzie,False,,,True,True,False,,5,No,False,2020-10-17 19:11:44,woiqdslzs3e060fq7itwoiqdsz41kcb4,,,
22,person 2183,Magdalen College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Modern Languages,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,2,3,2,3,2,2,3,4,Fever,4,4,4,indie,3,2,,3,4,Intelligence,Sense of Humour,Ambition,Moderate,True,Very conservative,Ahmed's,Psychology (Experimental),Entz,OUCA,Pembroke College,,False,,,True,True,False,,3,nothing,True,2020-10-17 19:12:17,k2y0whsqjmtffth7dck2y0kbag0nrpxk,,,
23,person 2500,Trinity College,Female,,Male,Not interested,Second,"Second, Third",Medicine,Walk in the park,As long as it's legal,"Mutual interests, some deep stuff but mostly joking around",Horizontal,4,5,3,4,3,3,4,1,4,Park End / ATIK / WTF it's called,4,1,3,,2,5,4.0,5,3,Sense of Humour,Sense of Humour,Confidence,Very left-wing,True,"Very conservative, Moderately conservative",Hassan's,Classics,Freshers Rep,OUCA,Exeter College,Malala,True,did not enter oxmatch,Exeter College,False,True,False,,4,Ask more questions about sport,True,2020-10-17 19:12:37,7n5nq4syn96n3yc7n5nq45j0j9rce23i,,,
24,person 2688,Exeter College,Female,,"Female, Nonbinary",Happy either-way,Third,"Third, Fourth + / Post Grad, Second",English Language and Literature,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,5,4,4,5,1,4,2,5,Plush,5,5,5,Kate bush 💃,5,4,3.0,1,4,Sense of Humour,Sense of Humour,Confidence,Very left-wing,True,"Moderate, Sightly conservative, Moderately conservative, Very conservative, I'm not political",Hassan's,"Philosophy, Politics and Economics (PPE)",Welfare,OUCA,Worcester College,safa sadozai,False,,,True,True,False,,5,no you're doing amazing sweetie,True,2020-10-17 19:12:44,21fo2e925hmthmg21fozua05sieunh57,,,
25,person 1198,Oriel College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad, First",Medicine,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,3,3,4,4,2,1,3,4,Park End / ATIK / WTF it's called,5,1,4,"Fleetwood Mac, George Michael, Ella Fitzgerald, Jack Johnson",5,2,3.0,3,3,Sense of Humour,Kindness,Confidence,Moderately left-wing,False,,Hassan's,Engineering Science,President,OUCA,Worcester College,BFR,False,,,True,True,False,,5,,False,2020-10-17 19:13:00,5m566hyuuspebcw105m566t5eaa83ugw,,,
26,person 2549,Hertford College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Archaeology and Anthropology,Dinner,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,2,1,3,2,2,1,2,3,Bullingdon,4,1,3,,3,3,,1,3,Kindness,Kindness,Sense of Humour,Moderate,True,"Very left-wing, Very conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,Hertford College,,False,,,False,False,False,,4,"The quiz was so fun, thank you and good job!!!",True,2020-10-17 19:14:11,gnbuj8zjslbak6gxgnfz2izr6u1dgalq,,,
27,person 714,St Catherine's College,Female,,Male,Not interested,Second,"Second, Third",Modern Languages and Linguistics,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,4,4,5,3,4,4,4,3,4,Bridge,4,4,5,"Gorillaz, ROSALÍA, The Cure, Kanye",5,3,3.0,3,5,Sense of Humour,Kindness,Intelligence,Sightly conservative,True,"Very left-wing, Moderately left-wing",Hassan's,Chemistry,Freshers Rep,The Union,Worcester College,Bailey FR,True,person 2092,Somerville College,False,True,False,,5,Nah all good,True,2020-10-17 19:14:29,wyjzggav3iquzawyjzgga6hcc07bmegn,,,
28,person 2006,St Hilda's College,Male,,Female,Happy either-way,Third,"Second, Third, Fourth + / Post Grad, First",Physics,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,3,3,3,3,2,4,4,2,,4,1,2,,2,3,3.0,1,4,Intelligence,Intelligence,Confidence,Moderately left-wing,False,,Ahmed's,Geography,Welfare,The Union,Merton College,,True,did not enter oxmatch,Pembroke College,True,True,False,,5,Ahmed's has no competition. Please don't insult him like this.,False,2020-10-17 19:15:11,xknocoosuwneezcyb5y9ol0vxknocoo1,,,
29,person 265,Somerville College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Fourth + / Post Grad, Third, Second",Chemistry,Walk in the park,2 Metres,"Art, Music, Culture...",Horizontal,3,5,2,4,4,1,1,5,2,,4,3,5,"Radiohead, The Beatles, Françoise Hardy, Serge Gainsbourg",5,4,4.0,3,3,Kindness,Kindness,Confidence,Moderately left-wing,True,Very conservative,Hassan's,English Language and Literature,Welfare,Rowing,New College,Dunno,False,,,True,True,True,Christ Church,4,Nope,False,2020-10-17 19:16:24,jaai6eyskr7gbceye7lw5jaai6e5w37q,,,
30,person 487,Somerville College,Male,,Male,Happy either-way,Third,"First, Second, Third",English Language and Literature,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,1,4,2,4,4,2,5,4,2,,1,4,4,Kate Bush,5,3,4.0,1,4,Ambition,Ambition,Confidence,Slightly left-wing,True,I'm not political,Hassan's,Computer Science,President,OUCA,New College,Lois Heslop,False,,,False,True,False,,4,Nope,False,2020-10-17 19:17:11,odm17lq8hemixe06jdodm144svxwpkrp,,,
31,person 2044,Somerville College,Male,,Male,Not interested,Third,"Second, Third, First",English Language and Literature,Walk in the park,As long as it's legal,The Deep Stuff™,Elbow Tap,1,3,2,4,3,2,2,4,2,,1,1,3,,4,4,,2,5,Ambition,Kindness,Confidence,I'm not political,False,,Hassan's,Classics,Welfare,OUCA,Keble College,,False,,,False,False,False,,2,,True,2020-10-17 19:18:05,376vdxda4hdauab1pi376vdx95r91xbh,,,
32,person 1902,University College,Male,,"Male, Nonbinary",Not interested,Third,"Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,"Art, Music, Culture...",Elbow Tap,3,5,1,3,5,1,5,2,4,Plush,3,2,2,,4,2,,1,4,Kindness,Kindness,Ambition,Very left-wing,True,"Very conservative, I'm not political",Ahmed's,Economics and Management,Welfare,The Union,Regent's Park College,Eve Bennet,False,,,True,True,False,,5,Idk tbh,False,2020-10-17 19:18:30,g5p2xy23cc97g6oag9ag5p2xftlhgfjb,,,
33,person 394,Magdalen College,Male,,Female,Not interested,Second,Second,"Psychology, Philosophy and Linguistics",Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,2,3,3,4,2,2,1,3,Bridge,5,2,3,,1,4,2.0,1,4,Sense of Humour,Kindness,Confidence,I'm not political,True,Very conservative,Ahmed's,Mathematics and Statistics,Entz,Student Journalism,Corpus Christi College,Pret,False,,,True,True,False,,4,No,True,2020-10-17 19:18:44,58fp6sl9gw7wwsomkw58fp6eizg58b7r,,,
34,person 1222,Harris Manchester College,Male,,Female,Must have,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Theology and Religion,Coffee,As long as it's legal,The Deep Stuff™,Horizontal,4,5,3,4,5,2,5,3,1,,3,2,5,Nightwish,4,4,3.0,1,5,Confidence,Kindness,Ambition,Very left-wing,True,"I'm not political, Very conservative, Moderately conservative, Sightly conservative, Moderate",Hassan's,Economics and Management,President,OUCA,Lady Margaret Hall,Lauren Shirreff,False,,,False,True,False,,5,Thanks for including the non-monogamy question!,False,2020-10-17 19:19:05,rq7e7f6pe6x6uhvqb4xrq7e7f6zoscje,,,
35,person 2880,Christ Church,Male,,Female,Not interested,Third,"Third, Fourth + / Post Grad, Second",Engineering Science,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,3,4,4,4,3,4,3,4,Park End / ATIK / WTF it's called,4,2,3,,4,4,,3,3,Kindness,Sense of Humour,Ambition,Slightly left-wing,False,,Hassan's,Physics,Welfare,OUCA,Exeter College,Henry XIII,True,did not enter oxmatch,Christ Church,True,True,False,,4,Nope,True,2020-10-17 19:19:57,8o59yvvi0qm2bfuj8o59cdrimhrsydod,,,
36,person 1776,Wadham College,Male,,Male,Not interested,Third,"Second, Third",English Language and Literature,Coffee,As long as it's legal,The Deep Stuff™,Elbow Tap,1,3,3,4,3,2,1,4,2,,3,1,3,,4,3,2.0,2,5,Kindness,Kindness,Confidence,Slightly left-wing,True,"Very conservative, Very left-wing",Hassan's,Economics and Management,President,Rowing,Exeter College,Alison Hall,False,,,False,True,False,,4,"no problems, thanks xx",False,2020-10-17 19:20:00,z9eqzyo26cskapf0kz9eqzda14bw0sgk,,,
37,person 320,St Catherine's College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,1,5,3,4,5,1,3,3,Fever,2,1,5,"Coldplay, Joel Cory, Arizona, bastille, Snowpatrol",3,5,3.0,4,1,Confidence,Kindness,Ambition,Moderately conservative,True,Very left-wing,Hassan's,Theology and Religion,Freshers Rep,Student Journalism,Keble College,Teague,False,,,True,True,False,,4,All good,False,2020-10-17 19:20:01,gb5v2nqfqo1ctd052twfgb5v2nqid2wp,,,
38,person 1858,Jesus College,Male,,Female,Not interested,Second,"First, Second, Third",Biology,Drinks,"Live fast, die young",Sex,Horizontal,3,4,5,1,5,1,5,4,4,Bridge,5,4,4,"Arctic Monkeys, Joy Crookes",4,4,3.0,3,4,Sense of Humour,Sense of Humour,Ambition,Moderately left-wing,True,Very conservative,Hassan's,Computer Science,Entz,OUCA,Brasenose College,Helena Garth,True,person 3115,St John's College,False,True,False,,5,Perfect,True,2020-10-17 19:20:26,whbwgf3cbk7emzcu7ywhbwgj47vtzq3n,,,
39,person 2081,New College,Male,,Female,Not interested,Second,"First, Second, Third",Physics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,4,3,3,4,2,2,4,4,Bridge,5,2,2,,3,3,3.0,1,3,Sense of Humour,Intelligence,Confidence,Slightly left-wing,True,"Very conservative, Moderately conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,Magdalen College,Tim Hoving,False,,,True,True,False,,5,No,False,2020-10-17 19:20:35,ao44w6ltwk58p13xetrao44w6ltw2nak,,,
40,person 1157,Mansfield College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Materials Science,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,5,2,4,4,2,2,2,4,Park End / ATIK / WTF it's called,4,4,4,"Kate Bush, Return to Forever, Red Hot Chilli Peppers",4,3,3.0,1,4,Confidence,Kindness,Ambition,Slightly left-wing,False,,Hassan's,Mathematics,Welfare,OUCA,St Peter's College,Eve Bennett?,True,person 2701,St Anne's College,False,True,True,Christ Church,4,Clarify whether the answer to whether you want to match with someone from a certain college/your course might void you matching with your crush,True,2020-10-17 19:21:04,fv6nkpdb2vnpkbe8yunyfv6n0n735iwv,,,
41,person 2372,St Hugh's College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Classics,Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,2,4,4,4,3,3,5,4,3,Park End / ATIK / WTF it's called,4,3,4,"Luther Vandross, Spice Girls, Sam Smith, The Supremes, Shalamar, Sister Sledge",5,4,4.0,1,4,Kindness,Ambition,Confidence,Moderate,True,"Very left-wing, Very conservative",Ahmed's,"Philosophy, Politics and Economics (PPE)",Freshers Rep,OUCA,Oriel College,Morayo Adesina,True,person 1407,Corpus Christi College,False,True,False,,5,It’s great!,True,2020-10-17 19:21:13,7sjy1w1b78vm3mv67sjy1w2yr0mj0lpq,,,
42,person 791,Pembroke College,Female,,Male,Not interested,Third,"Third, Second, Fourth + / Post Grad",Oriental Studies,Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,4,2,5,3,2,1,3,4,Park End / ATIK / WTF it's called,5,3,3,,5,3,3.0,2,4,Ambition,Kindness,Kindness,Very left-wing,False,,McCoy's,Fine Art,President,OUCA,St Anne's College,Phoenix Guwa,True,did not enter oxmatch,The Queen's College,True,True,False,,5,no,False,2020-10-17 19:21:22,8eon8fg89ca24nvvus8eon8v28fo5ifu,,,
43,person 2816,Christ Church,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Theology and Religion,Coffee,"Live fast, die young",Combination of ABC,Peck on the cheek,3,1,5,3,3,5,2,4,4,Bridge,3,1,5,"Calvin Harris, Guns and Roses, Led Zeppelin, Camelphat, Enrique Iglesias, Ozuna, Maluma",5,4,3.0,2,5,Ambition,Kindness,Confidence,Moderately conservative,True,"Very left-wing, Moderately left-wing, Slightly left-wing",Ahmed's,Materials Science,Entz,OUCA,Trinity College,Michael James O’Toole,False,,,True,True,True,Magdalen College,4,Favourite traits should be able to pick multiple,False,2020-10-17 19:21:53,qgddr141atobnu6l0ywtbhvclkrzq427,,,
