,I agree that I have bought a [ticket](https://fixr.co/event/215737120) and agree to the [Terms and Conditions](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,Do you understand you won't get a match unless you've bought a ticket?,What college are you at?,What do you study?,"{{field:5be60ae4-75cb-48af-93d7-fb1955703b91}}, what year are you in?",What years do you want to match with?,I identify as...,I want to match with people looking for...,I want to match with someone who is:,How do you feel about a non-monogamous relationship?,I like Christmas the most for...,My ideal date is...,You are taking them to dinner. Where do you go?,What do you talk about?,How COVID-Secure is your Date?,Who pays?,What’s one thing you definitely want from your partner in the morning?,Fast forward to end of COVID-19. You and your partner are going on a dream romantic getaway. What continent is it on?,How political are you?,I would best describe myself as being...,Are there some political beliefs you don't want to match with?,I do not want to match with someone who is:,I would look after my drunk mate even if I had an essay due at 9am,"I’d always support my country, whether it was right or wrong.",Social activism is important to me,I'm very outgoing and extroverted,Climate change is the most important issue,My intellectual curiosity is the most important thing about me.,Being thought of as well dressed is important to me,"“From each according to his ability, to each according to his need” is a fundamentally good idea.
",I find extreme ambition attractive even when it interferes with family and friends,"Authority should always be questioned.
",No culture is superior to any other,It is important to me to promote access to Oxford,Making peace with the establishment is an important aspect of maturity.,"You cannot be moral without being religious
",I consider myself religious,There are some things that science cannot explain,Traditional gender roles exist for a reason,"Some people are naturally unlucky.
",Is it true that {{field:fead9b5e-ab90-4724-8d76-5bc0ee9a3a3b}} is the best college?,I think I have a healthy work/life balance.,I try to attend all lectures.,*Who has done* _*more*_* for women this term?*,I would never get with a tute partner,Best night out in Oxford?,"How do you describe organisations with hacks, slates, and famous debating societies? ",Are you smarter than most people at Oxford?,"Besides {{field:5be60ae4-75cb-48af-93d7-fb1955703b91}} {{field:7377cb3f-039d-4dc6-a882-0b64fac6f685}}, who is the Biggest Name on Campus?",Crewdates are...,Studying in the library is...,Are you a cat or a dog person?,What would you give your scout?,"Household bop or household baking?
",Emotional vulnerability is an important part of my friendships,Big spoon or little spoon?,How confident are you?,My humour is politically correct,Favourite game to play with friends?,My ideal date ends...,Do you announce to the porters if someone is staying over?,Are you kinky?,"Just so we’re really clear, are you naughty or nice? 😉",Best sconce?,Do you drink alcohol?,How much do you drink?,Do you smoke?,How much do you smoke?,"If you do nothing for an entire day, how do you feel?",Morning or Night person?,The ideal number of nights out is...,How important is music to you?,Favourite musicians? ,I consider myself outdoorsy,Vibe check - how wholesome are you?,I most want to get a...,I will most likely sell my soul to the city,How many children do you want?,I expect my children to attend Oxbridge,I want to be thought of as posh,"Looking back, if 2020 was a movie, what would it be called?",Which of these traits is most important for you in a partner?,Which of these traits is your best trait?,I would be disappointed if I didn't meet my match in person,I am happy to match with someone from my college,I am happy to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to include additional contact information for your match to reach you?,Your email is {{field:3b292fa4-3b1f-47db-8ef6-a631747f0486}} and you want to match with a {{field:cd7d9577-c952-4d05-b8b4-ef159867afa9}}.,Submitted At,Token
11,True,person 1996,1.0,Corpus Christi College,Physics,Second,"First, Second, Third, Fourth + / Post Grad",Male,,Female,Happy either way,The time off,Dinner at a nice restaurant,Takeaway and a film,"Art, Music, Culture...",5.0,Split equally,Sex,Europe,3.0,Moderately left-wing,1.0,,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,"A certain society related to philosophy, politics and economics",2.0,Bully,4.0,2.0,,4.0,3.0,4.0,Flowers,2.0,3.0,4.0,4.0,4.0,Cards against Humanity,5.0,1.0,4.0,4.0,,1.0,4.0,0.0,,3.0,5.0,4.0,5.0,"Kendrick Lamar, Mac Miller, Travis Scott, King Krule, Loyle Carner, Rejjie Snow,",3.0,3.0,💰 Sweet job 💰,3.0,2.0,1.0,1.0,,Sense of Humour,Sense of Humour,4.0,1.0,1.0,0.0,,4.0,,1.0,1.0,2020-11-22 13:19:06,ux32c49vpqtii8518r2yz3kux32c49zr
12,True,person 400,1.0,Somerville College,"Philosophy, Politics and Economics (PPE)",First,"First, Second",Male,,Male,Happy either way,Quality time with family and friends,Taste the countryside on Port Meadow,Takeaway and a film,The Deep Stuff™,5.0,Me,Breakfast,Europe,3.0,Slightly conservative,1.0,,5.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,1.0,1.0,Donald Trump,4.0,A night in..,5.0,1.0,Alfie Brazier,3.0,2.0,1.0,Chocolate,3.0,5.0,5.0,2.0,2.0,Monopoly,3.0,2.0,3.0,2.0,I literally do not know what this means,1.0,1.0,0.0,,3.0,4.0,3.0,3.0,Lorde,3.0,4.0,💰 Sweet job 💰,4.0,3.0,2.0,3.0,A dramatision of My lifestory,Confidence,Kindness,4.0,1.0,0.0,0.0,,4.0,No,1.0,1.0,2020-11-22 13:19:23,8gw4sf89o6l81yp8gjcn1mdu95ncdtkb
13,True,person 1862,1.0,Magdalen College,Classics and Modern Languages,Third,Fourth + / Post Grad,Female,,Male,Not interested,Quality time with family and friends,Visit the Ashmolean,Dinner at a nice restaurant,"Art, Music, Culture...",2.0,Pay separately,To not wake me up,Europe,2.0,Moderate,0.0,,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,5.0,2.0,4.0,It's closer than I'd like it to be,1.0,Park End,3.0,3.0,,2.0,3.0,1.0,Chocolate,2.0,4.0,1.0,3.0,5.0,Pictionary,2.0,1.0,1.0,1.0,,1.0,1.0,0.0,,1.0,4.0,1.0,3.0,everything from the 80s,3.0,4.0,First,4.0,2.0,2.0,2.0,,Sense of Humour,Intelligence,3.0,1.0,0.0,0.0,,4.0,,0.0,1.0,2020-11-22 13:20:34,eow0bvfz70r5tplt0eeow0moizjf0no3
14,True,person 1669,1.0,Somerville College,History and Economics,Second,"First, Second, Third, Fourth + / Post Grad",Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Best food money can buy,"Art, Music, Culture...",5.0,Me,Sex,Europe,3.0,Moderate,1.0,,5.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,It's closer than I'd like it to be,2.0,Bully,5.0,2.0,Wolan Nhitcomb,4.0,5.0,4.0,Nice card for Christmas,1.0,4.0,3.0,4.0,1.0,Cards against Humanity,4.0,1.0,4.0,1.0,"Have you ever gotten someone's cum on a tute sheet, and then handed it in after it dried",1.0,3.0,0.0,,4.0,4.0,3.0,5.0,"Rufus, Frank Ocean, Drake, Kanye, The Weeknd",4.0,3.0,Spouse,4.0,2.0,1.0,2.0,,Kindness,Sense of Humour,4.0,0.0,0.0,0.0,,5.0,,1.0,0.0,2020-11-22 13:26:14,xyl429lmcyz6b3uctp9kdxyl421e9b7t
15,True,person 1205,1.0,St Peter's College,Philosophy and Modern Languages,First,"First, Second",Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Homemade meal,The Deep Stuff™,5.0,Me,Sex,Europe,1.0,Moderate,0.0,,4.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,It's closer than I'd like it to be,2.0,A night in..,4.0,3.0,idk,3.0,3.0,5.0,Chocolate,3.0,2.0,5.0,4.0,3.0,Cards against Humanity,4.0,2.0,2.0,2.0,never had one :(,0.0,,0.0,,3.0,2.0,2.0,3.0,"EDEN, Saint Motel, Gang of Youths but its kinda ecclectic",4.0,4.0,Blue,2.0,2.0,1.0,3.0,A series of unfortunate events (not withstanding copyright),Kindness,Sense of Humour,5.0,1.0,0.0,0.0,,4.0,nah,1.0,1.0,2020-11-22 13:20:46,p397ojls2q4wkhmphk67u7np06q03jtm
16,True,person 1266,1.0,St Catherine's College,Physics,First,First,Female,,"Female, Non-binary",Happy either way,The food,Visit the Ashmolean,Homemade meal,"Art, Music, Culture...",5.0,Me,Sex,Europe,5.0,Slightly left-wing,1.0,,4.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,It's closer than I'd like it to be,5.0,Plush,5.0,1.0,Dommy Shelby,1.0,1.0,1.0,Nice card for Christmas,1.0,5.0,5.0,2.0,4.0,Cards against Humanity,5.0,1.0,5.0,5.0,???,1.0,5.0,0.0,,2.0,5.0,3.0,5.0,Marilyn Manson,4.0,2.0,First,1.0,0.0,1.0,1.0,idk,Kindness,Confidence,5.0,1.0,1.0,0.0,,3.0,nope,1.0,1.0,2020-11-22 13:24:56,g05bjty3ekc52xpxubyg05bjpond2gg7
17,True,person 3087,1.0,Mansfield College,Oriental Studies,Fourth + / Post Grad,Fourth + / Post Grad,Female,,Male,Not interested,Quality time with family and friends,Visit the Ashmolean,Homemade meal,"Art, Music, Culture...",4.0,Them,Breakfast,Asia,3.0,Moderate,1.0,,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,It's closer than I'd like it to be,2.0,Park End,5.0,3.0,,1.0,3.0,5.0,Chocolate,5.0,3.0,2.0,2.0,4.0,Pictionary,3.0,1.0,2.0,2.0,,1.0,3.0,0.0,,2.0,5.0,2.0,5.0,,5.0,4.0,First,2.0,2.0,5.0,1.0,,Intelligence,Sense of Humour,5.0,1.0,1.0,0.0,,3.0,,0.0,1.0,2020-11-22 13:24:26,ql4ilbjtwbunaqql4qdr466twocpt08a
18,True,person 2720,1.0,St Edmund Hall,Biochemistry (Molecular and Cellular),First,"First, Second",Female,,Male,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Takeaway and a film,"Art, Music, Culture...",3.0,Split equally,Breakfast,Europe,2.0,Slightly left-wing,1.0,,5.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,"A certain society related to philosophy, politics and economics",2.0,Plush,3.0,2.0,Mehta,2.0,1.0,2.0,Flowers,4.0,4.0,1.0,4.0,2.0,Cards against Humanity,4.0,2.0,3.0,2.0,,0.0,,0.0,,4.0,1.0,2.0,5.0,"Old Dominion, Luke Bryan, Jacob Collier",4.0,4.0,First,4.0,2.0,2.0,2.0,2012,Sense of Humour,Kindness,4.0,0.0,0.0,1.0,St Peter's College,4.0,Less political questions,1.0,1.0,2020-11-22 13:31:57,gyy8bn56vfo03syg5nygyydt4rqhg5im
19,True,person 2355,1.0,Linacre College,Biology,Fourth + / Post Grad,Fourth + / Post Grad,Male,,Female,Not interested,Quality time with family and friends,Something active!,Takeaway and a film,The Deep Stuff™,5.0,Split equally,To not wake me up,Africa,3.0,Slightly left-wing,1.0,,3.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,5.0,It's closer than I'd like it to be,1.0,A night in..,4.0,3.0,David my housemate,2.0,1.0,1.0,Chocolate,5.0,4.0,3.0,5.0,2.0,Cards against Humanity,5.0,1.0,3.0,3.0,,0.0,,0.0,,3.0,5.0,0.0,3.0,Migos,4.0,4.0,💰 Sweet job 💰,2.0,0.0,4.0,1.0,The Great Depression,Sense of Humour,Sense of Humour,5.0,0.0,0.0,0.0,,5.0,nope,1.0,1.0,2020-11-22 13:43:38,in7qncbkq3qujisaelin73f9ugiz3tn0
20,True,person 1,1.0,St Edmund Hall,Physics and Philosophy,First,"First, Second",Male,,Female,Happy either way,Quality time with family and friends,Taste the countryside on Port Meadow,Homemade meal,"Art, Music, Culture...",3.0,Pay separately,Tickets for a night-out,Europe,3.0,Moderately left-wing,1.0,,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,"A certain society related to philosophy, politics and economics",2.0,A night in..,3.0,4.0,Mehta,3.0,2.0,1.0,Nice card for Christmas,5.0,4.0,4.0,2.0,4.0,Cards against Humanity,3.0,2.0,3.0,2.0,,0.0,,0.0,,4.0,3.0,2.0,4.0,"Delain, Epica",3.0,4.0,First,2.0,2.0,2.0,3.0,The worst year,Sense of Humour,Intelligence,4.0,0.0,0.0,0.0,,4.0,Nope,1.0,1.0,2020-11-22 13:32:46,3m25rjaewnjf9vku3m25va8njg1byk2j
21,True,person 1977,1.0,Pembroke College,Economics and Management,Second,"Second, Third",Female,,Male,Happy either way,Quality time with family and friends,Taste the countryside on Port Meadow,Dinner at a nice restaurant,The Deep Stuff™,5.0,Split equally,To not wake me up,Europe,1.0,Slightly left-wing,1.0,,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0,Donald Trump,3.0,Fever,3.0,1.0,Joseph Lawler,4.0,4.0,4.0,Chocolate,1.0,4.0,1.0,2.0,2.0,Cards against Humanity,3.0,4.0,4.0,2.0,,1.0,5.0,0.0,,2.0,2.0,3.0,2.0,,4.0,5.0,First,4.0,3.0,2.0,1.0,,Sense of Humour,Sense of Humour,3.0,0.0,0.0,0.0,,5.0,,0.0,1.0,2020-11-22 14:24:28,t37hochnthw6yj5xt4t9ln0nztjqdz38
