,Your privacy is important to us. By continuing you agree to [our privacy guidelines](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, did Carole Baskin murder her husband? 🐯",What college are you?,Are you...,I am looking for a...,I am in my...,I want to match with a...,What course do you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, are you chaotic?",What type of chaos are you?,I identify as being..,I am fine matching with people with different political beliefs than me,I specifically do not want to match with someone who is..,Are there things science can't explain?,Are you an optimist?,Do you like going to new places with new people?,Is it okay to step on others to get ahead?,Do individuals have a responsibility to make sacrifices for their community?,How much do you love your college?,Do you like to work in your college library?,Would you date someone that rows?,Would you go on a date to a college formal?,Sexiest JCR role?,What were you like on your freshers group chat?,The biggest sin on College FB Groups is...,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what is your heart’s desire? 
","How smart are you compared to the average Oxford student? 
",Do you make an effort to attend lectures?,What type of tute partner are you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, have you ever overslept and missed a tutorial?",Most creative excuse for a late/missed essay?,I generally find it easy to find friends to go to the places I want,"Where do you study? 
",Worst library sin?,Favourite library?,What is the biggest waste of human potential?,"Be honest, have you ever hacked?",Would you ever date a hack?,Do you enjoy crewdates?,Best sconce?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} do you drink excessively?,Are you a...,Greggs or Pret?,Favourite pub? 🍺,Favourite cafe? ☕,Is clubbing a large part of your social life?,Is Fever a bad idea?,I love Bridge Thursdays this much...,I would rather go to the pub than the club..,Ideal afters?,How musical are you?,Is music a big part of your life?,What type of music do you enjoy?,Favourite band/artist?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} how kinky are you?,Do you consider yourself athletic?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what sports do you do?",I generally consider myself..,In my friendship group I am..,Do you think you have a good work/life balance?,I want to go on dates but I feel like I can’t find anyone…,My ideal post-lockdown first date would be...,Do you use dating apps?,Which ones?,How satisfied are you with the present choices for dating apps?,"Out of 5 matches, how many would you say you meet in person? \* ",Do you want to meet dating app matches in person?,Why don't you meet up with matches in person?,Would you like to be an early user for a new dating app in Michaelmas 2020?,I am okay matching with someone from my college,I am okay matching with someone from my course,How'd we do?,Your suggestions and feedback are welcome,I want to find a..,The college I dislike the most is...,Favourite club in Oxford?,(optional) What's been your experience with dating apps and how could it be improved?,I want to be matched with people looking for...,Submitted At,Token
10,1.0,person 2760,Yes,Brasenose College,Male,Female,First year,"First year, Second year",Geography,0.0,,Slightly left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,Entz 🎫,The silent observer,Sharing events nobody cares about,Blue🎖,3.0,0.0,The Teamplayer (back them up!),0.0,,True,College library,Loud sniffling,College,Oxford University Conservative Association,0.0,1.0,1.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Pret a Manger,White Rabbit,Alpha bar,1.0,0.0,4.0,True,Kebab van,0.0,1.0,"Pop, Indie",Georgia Smith,7.0,3.0,Football,In between,The Wildcard,1.0,True,,0.0,,,,,,1.0,0.0,1.0,3.0,,,,,,,2020-05-26 17:15:18,tiphm75cc9osac8n7tiphm790e8jl29q
11,1.0,person 1062,Yes,Harris Manchester College,Female,Male,Second year,"First year, Second year",Philosophy and Theology,0.0,,Moderately conservative,1.0,,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,Secretary ✍️,The non-stop chatterbox,Ranting / causing drama,Spouse❤️,3.0,0.0,Ask questions to eat up the 🕐,0.0,,True,My room,,Rad cam,Student 'journalism',0.0,1.0,1.0,,0.0,A mix of all the above depending on the week,Pret a Manger,Turf,Nero,0.0,1.0,1.0,True,McDonalds,1.0,0.0,,,8.0,1.0,None,Extroverted,The Mom,1.0,False,,1.0,Tinder,2.0,1.0,1.0,It's hard to find people I have things in common with,0.0,1.0,1.0,3.0,,,,,,,2020-05-26 17:11:55,sr36a370oepdpb7gsr36y2jnvgqd9yp4
12,1.0,person 1057,No,Merton College,Male,"Male, Female, Any",First year,First year,"Philosophy, Politics and Economics (PPE)",0.0,,Slightly conservative,1.0,,1.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,President👑,The silent observer,Just general shitposting,First🎓,2.0,0.0,The Teamplayer (back them up!),0.0,"Stuck on an overnight bus from Edinburgh to Oxford because I missed the train, in turn caused by me misreading the time on the ticket",False,College library,I shake my leg. It's distracting.,dunno lol. My department library because it has the most books related to my course?,Oxford University Conservative Association,0.0,1.0,0.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Pret a Manger,I don't really drink,Jericho Coffee Traders,0.0,1.0,2.0,True,Kebab van,1.0,0.0,,,3.0,0.0,Cycling,In between,The Wildcard,0.0,True,just a cuppa,0.0,,,,,,0.0,0.0,1.0,5.0,,,,,,,2020-05-26 17:10:09,hhcatx4jl6rw6742pghhcatcj2mdx1sn
13,1.0,person 2610,Yes,Brasenose College,Female,Male,First year,"First year, Second year","Philosophy, Politics and Economics (PPE)",1.0,Chaotic good,Moderate,1.0,,1.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,Welfare 💜,I wasn't in the freshers group chat (thankfully),Sharing events nobody cares about,First🎓,3.0,0.0,Please don't ask me a question,0.0,,True,My room,,Bod,Student 'journalism',1.0,1.0,1.0,,1.0,Get up in the afternoon person ⏰ (!!!),Pret a Manger,Turf,Jericho,1.0,0.0,4.0,False,Kebab van,1.0,0.0,,,8.0,1.0,None,Extroverted,The Mess,0.0,True,,1.0,Tinder,2.0,0.0,1.0,Messaging is awkward // I don't know what to say,0.0,0.0,0.0,5.0,,,,,,,2020-05-26 17:06:45,4po48a1rsv3v3p3pdd24po48why94l71
14,1.0,person 752,I don't know who that is,Merton College,Male,Male,Post Grad,"Post Grad, Fourth year +",English Language and Literature,0.0,,Moderately left-wing,1.0,,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,Welfare 💜,I wasn't in the freshers group chat (thankfully),Just general shitposting,First🎓,3.0,1.0,The Teamplayer (back them up!),0.0,,False,My room,Staining the merchandise,Bodley,The Oxford Union,0.0,0.0,0.0,,0.0,Morning person 🌅,Pret a Manger,Eagle and Child,Turl Street Kitchen,0.0,1.0,1.0,True,Asleep,2.0,1.0,"Pop, Classical",Troye Sivan,6.0,1.0,None,Introverted,The Comic Relief,1.0,False,,1.0,"Tinder, Hinge",2.0,2.0,1.0,It's hard to find people I have things in common with,1.0,1.0,1.0,4.0,,,,,,,2020-05-26 17:02:33,6uktkzwffgwvkhfc9nh6uktn7bmcnev5
15,1.0,person 2417,No,Merton College,Male,Female,Second year,"Second year, First year",Law (Jurisprudence),0.0,,Slightly conservative,1.0,,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,Secretary ✍️,I wasn't in the freshers group chat (thankfully),Sharing events nobody cares about,First🎓,3.0,0.0,The Teamplayer (back them up!),1.0,I said I’d sent the email with it attached before the deadline but my WiFi was so patchy because I was living in a medieval room it hadn’t gone through until 10 hours later,True,My room,Using several rooms as settings for a sexy sub fusc calendar we made for a friend’s birthday,Merton MOB,The Oxford Union,0.0,1.0,0.0,,0.0,A mix of all the above depending on the week,Greggs,The Bear,Jericho Coffee,1.0,0.0,4.0,True,Kebab van,1.0,0.0,,,7.0,1.0,None,Extroverted,The Wildcard,0.0,True,A long walk in the woods,0.0,,,,,,1.0,1.0,1.0,3.0,.,,,,,,2020-05-26 16:24:46,xci59rhdh8byfmixci5s5qngqub1wpie
16,1.0,person 2809,Yes,Pembroke College,Male,Female,First year,"First year, Second year, Third year",Modern Languages,0.0,,Moderately left-wing,0.0,"Very conservative, Moderately conservative",0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,Welfare 💜,The silent observer,Sharing events nobody cares about,Blue🎖,3.0,1.0,The Teamplayer (back them up!),0.0,Haven't missed one yet,True,My room,Not actually making full use of them :/,Taylor Institute,The Oxford Union,0.0,1.0,1.0,-,0.0,A mix of all the above depending on the week,Greggs,Turf Tavern,Turl Street Kitchen,0.0,1.0,2.0,True,Kebab van,3.0,1.0,"Electronic, Indie, Jazz, Classical, Pop",Vistas,3.0,4.0,"Rowing, Basketball, Korfball, Ice Hockey, College Netball",In between,The Mom,1.0,True,Picnic in Uni Parks,1.0,"Tinder, Bumble",2.0,1.0,1.0,"They don't respond to messages, It's hard to find people I have things in common with, I don't get matches",1.0,0.0,1.0,5.0,-,,,,,,2020-05-26 16:04:06,oo9fp4n9udysq12i2oo9fx726lu6psm0
17,1.0,person 1554,I don't know who that is,Hertford College,Female,Male,Third year,"Third year, Fourth year +, Post Grad",Modern Languages,1.0,Chaotic evil,Slightly conservative,1.0,,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,Sports 🏐,The silent observer,Sharing events nobody cares about,First🎓,3.0,1.0,I'm too busy arguing with the tutor..,0.0,,False,Uni libraries,,VH,My college's JCR,1.0,1.0,0.0,,0.0,Morning person 🌅,Pret a Manger,Despise pubs,Browns,0.0,1.0,1.0,False,Asleep,1.0,0.0,,,6.0,2.0,Gym,Introverted,The Organizer,0.0,False,,1.0,"Tinder, Bumble",2.0,1.0,1.0,"That's not what I'm trying to do // I don't want to meet in person, It's hard to find people I have things in common with",0.0,0.0,0.0,5.0,,,,,,,2020-05-26 16:00:56,dguei8s4hzleb640eku2zidguei8se1n
18,1.0,person 3039,No,St Catherine's College,Female,Male,First year,"First year, Second year",Modern Languages,1.0,Chaotic good,Slightly left-wing,1.0,,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,Welfare 💜,The silent observer,Ranting / causing drama,First🎓,4.0,1.0,I'm too busy arguing with the tutor..,0.0,,True,Uni libraries,,The Taylorian,Student 'journalism',0.0,1.0,1.0,Got with a guy and his ex girlfriend in the same night,0.0,A mix of all the above depending on the week,Pret a Manger,Four candles,Does alternative tuck shop count?,1.0,1.0,2.0,False,Wholesome afters (tea is optional),3.0,1.0,"Blues, Classical, Electronic, Jazz, Pop, Rap, R&B, Indie",Literally changed weekly but currently love The Internet,7.0,3.0,Rowing,Extroverted,The Organizer,1.0,False,,0.0,,,,,,1.0,0.0,0.0,4.0,,,,,,,2020-05-26 15:30:20,l0bwqcdaw2r5cjj6r3c55kl0bwqcpa4o
19,1.0,person 726,Yes,Balliol College,Male,Female,Second year,"First year, Second year, Third year, Fourth year +",English Language and Literature,0.0,,Moderately left-wing,1.0,,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,Entz 🎫,The silent observer,Ranting / causing drama,First🎓,3.0,0.0,The Teamplayer (back them up!),0.0,Recognised a missing cat and had to call the owner to come collect it,True,My room,Loudly getting with your water bottle every five minutes,Vere Harmsworth,Student 'journalism',0.0,1.0,1.0,,0.0,A mix of all the above depending on the week,Greggs,Four Candles,,1.0,0.0,3.0,True,Kebab van,3.0,1.0,"Classical, Electronic, Pop, Rap, R&B, Indie",Cloudkicker,6.0,4.0,Skateboarding,Extroverted,The Wildcard,1.0,True,Cocktails followed by the pool bar,1.0,"Tinder, Hinge",3.0,0.0,1.0,It's difficult arranging to meet // I don't know where to meet them,1.0,1.0,1.0,4.0,Perhaps make it a bit easier to go back and change answers!! Very well designed UI though and very good questions,,,,,,2020-05-26 15:15:19,kfhb19dwx6hvu37lxckfhb19gf34fl1j
20,1.0,person 540,Yes,St Hugh's College,Male,Female,First year,"First year, Second year",Economics and Management,0.0,,Moderate,1.0,,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,President👑,The silent observer,Ranting / causing drama,First🎓,3.0,1.0,The Teamplayer (back them up!),1.0,,False,Uni libraries,,Sainsbury Library,Student 'journalism',0.0,1.0,1.0,,1.0,A mix of all the above depending on the week,Pret a Manger,,missing bean,1.0,1.0,3.0,False,Kebab van,3.0,1.0,"Classical, Pop, Rap, R&B",Drake,7.0,3.0,Dancesport,In between,The Organizer,1.0,True,,0.0,,,,,,1.0,0.0,0.0,4.0,,,,,,,2020-05-26 14:51:02,9j83ljmtwytrea0rap9j83igxcrf2b8u
21,1.0,person 742,Yes,Exeter College,Male,Male,First year,"First year, Second year",Mathematics,0.0,,Slightly conservative,1.0,,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,Entz 🎫,The non-stop chatterbox,Sharing events nobody cares about,Spouse❤️,3.0,1.0,Please don't ask me a question,0.0,,True,My room,,Exeter,Oxford University Conservative Association,1.0,1.0,0.0,,1.0,Morning person 🌅,Greggs,Spoons,Missing Bean,0.0,0.0,2.0,True,McDonalds,3.0,1.0,Pop,Bastille,9.0,2.0,"Cricket, Football",In between,The Organizer,1.0,True,,1.0,Tinder,2.0,0.0,1.0,"It's hard to find people I have things in common with, Messaging is awkward // I don't know what to say",1.0,0.0,1.0,4.0,,,,,,,2020-05-26 14:44:16,l3uqhkpr4i160n4ml3uqhkp2tulggxae
22,1.0,person 2438,Yes,Mansfield College,Female,Male,First year,"First year, Second year, Third year",Engineering Science,0.0,,Moderately left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,Entz 🎫,The silent observer,Sharing events nobody cares about,First🎓,1.0,0.0,Please don't ask me a question,0.0,I had corona,True,My room,Coughing lots,Radcam,Oxford University Conservative Association,0.0,1.0,1.0,Got with a 4th year during freshers,0.0,A mix of all the above depending on the week,Greggs,Four candles,Mansfield college cafe,1.0,1.0,2.0,False,Kebab van,2.0,0.0,,,3.0,2.0,"Rowing, Rugby, Cycling",Extroverted,The Floater,0.0,True,Cycling around London together,1.0,Bumble,3.0,1.0,1.0,It's difficult arranging to meet // I don't know where to meet them,1.0,1.0,1.0,4.0,None!,,,,,,2020-05-26 14:34:14,n3lx62lzs8ivlub9mhln3lx622bisr0m
23,1.0,person 1380,Yes,Lincoln College,Female,Male,First year,First year,Biomedical Sciences,1.0,Chaotic neutral,Very left-wing,0.0,"Very left-wing, Moderately left-wing, Slightly left-wing",1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,Sports 🏐,The silent observer,Sharing events nobody cares about,Spouse❤️,2.0,1.0,Please don't ask me a question,1.0,,True,My room,eating crisps,college,Oxford University Conservative Association,0.0,0.0,1.0,,1.0,A mix of all the above depending on the week,Greggs,spoons,,1.0,1.0,4.0,False,Kebab van,0.0,0.0,,,5.0,3.0,cheer,In between,The Mess,1.0,False,,1.0,Tinder,3.0,0.0,1.0,It's difficult arranging to meet // I don't know where to meet them,1.0,0.0,0.0,4.0,,,,,,,2020-05-26 13:53:44,6dd0z3wrnrxw2rot11ta4j6dd0z3h7oj
24,1.0,person 2317,Yes,St Hugh's College,Male,Female,Second year,Second year,History and Politics,1.0,Chaotic neutral,Moderate,1.0,,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,Careers 🔥,The silent observer,Ranting / causing drama,Spouse❤️,4.0,0.0,The Teamplayer (back them up!),0.0,"Not for an essay but for a collection - I told my tutor my flight back to the UK was delayed, then I asked for a specific time slot because I wanted to catch a concert in London (didn't go in the end because tickets were mad pricey)",True,College library,Talking (but I do it too so oh wells),Bod,The Oxford Union,0.0,1.0,0.0,,0.0,A mix of all the above depending on the week,Pret a Manger,Rose and Crown,Caffè Nero,0.0,1.0,3.0,True,Kebab van,0.0,0.0,,,7.0,3.0,Running,In between,The Wildcard,0.0,True,A nice chat in a café followed by a walk around town (bec I miss Oxf ngl),1.0,"Tinder, Bumble",2.0,1.0,1.0,It's hard to find people I have things in common with,1.0,0.0,1.0,3.0,Isn't it premature to ask this as of now LOL,,,,,,2020-05-26 13:48:06,58nhvrtkyn2cr05spj58nhvr95uek9ql
